CATEGORIA_PADRE,CATEGORIA_HIJA
Vinos,Tintos
Vinos,Blancos
Vinos,Rosados
Vinos,Dulces, 
Vinos,Oporto/Jerez
Vinos,Otros
Espumantes,Brut
Espumantes,Rose
Espumantes,Extra Brut 
Espumantes,Brut Nature 
Espumantes,Nature
Espumantes,Dulce
Espumantes,Champagne
Espumantes,Cava 
Espumantes,Prosecco
Destilados,Whiskey
Destilados,Ron 
Destilados,Gin 
Destilados,Tequila
Destilados,Brandy/ Cognac / Armagnac
Destilados,Licores
Destilados,Vodka
Destilados,Otros
Cervezas,Rubia
Cervezas,Trigo 
Cervezas,Roja 
Cervezas,Negra
Cervezas,Otras
Bebidas sin Alcohol,Gaseosas
Bebidas sin Alcohol,Jugos
Bebidas sin Alcohol,Aguas 
Bebidas sin Alcohol,Energizantes 
Cristaleria, Copas
Cristaleria,Decantadores 
Cristaleria,Bar 
Cristaleria,Vasos 
Alimentos,Chocolates
Alimentos,Galletitas
Alimentos,Conservas Vegetales y Frutas 
Alimentos,Conservas Animales
Alimentos,Pastas,Arroz,Harina 
Alimentos,Especias/Sal/Azucar
Alimentos,Adherezos 
Alimentos,Otros
Otros,Conservadoras de Vino 
Otros,Destapadores


 

