"name","name-2","quantity","reserved_quantity"
"Niepoort Senior Tawny ","Ajustes de Inventario",94,0
"Riedel Degustazione Red Wine","Ajustes de Inventario",4188,0
"Riedel Sommelier Rest. Vintage Champagne","Ajustes de Inventario",162,0
"Cuesta Fino ","Ajustes de Inventario",36,0
"Volver Tempranillo ","Ajustes de Inventario",5,0
"Shaya Shaya ","Ajustes de Inventario",3,0
"Musso Pinot Noir 2016","Ajustes de Inventario",28,0
"Riedel Decanter Syrah Rest","Ajustes de Inventario",48,0
"Bracamonte Roble 2014","Ajustes de Inventario",87,0
"Riedel Bar Vinum XL Martini","Ajustes de Inventario",16,0
"Dominio de Eguren Protocolo 2014","Ajustes de Inventario",731,0
"Riedel Bar Tequila","Ajustes de Inventario",408,0
"Riedel Ouverture White Wine","Ajustes de Inventario",1088,0
"Riedel Vinum XL Viognier/Chardonnay","Ajustes de Inventario",1,0
"Riedel Bar Vinum Brandy","Ajustes de Inventario",32,0
"Marques de Murrieta Castillo Ygay 2007","Ajustes de Inventario",12,0
"Riedel Grape Viogner/Chardonnay","Ajustes de Inventario",24,0
"Pintia Pintia 2011","Ajustes de Inventario",54,0
"Prunotto Barbaresco 2014","Ajustes de Inventario",30,0
"Yllera Almenada Roble 2012","Ajustes de Inventario",78,0
"Riedel Vitis Cabernet","Ajustes de Inventario",8,0
"Juan Gil Etiqueta Amarilla Monastrell 2015","Ajustes de Inventario",160,0
"Palacios Remondo La Vendimia 2015","Ajustes de Inventario",68,0
"Telmo Rodriguez Basa 2016","Ajustes de Inventario",83,0
"Santa Cristina Santa Cristina Chianti Superiori 2015","Ajustes de Inventario",120,0
"Vega Sicilia Valbuena Magnum 2011","Ajustes de Inventario",2,0
"Riedel Riedel Cabernet/Merlot ","Ajustes de Inventario",900,0
"Riedel Decanter Single","Ajustes de Inventario",2,0
"Riedel Bar Happy O  Copa sin Tallo Coloreada","Ajustes de Inventario",608,0
"Marques de Caceres Excellens 2013","Ajustes de Inventario",69,0
"Riedel Ouverture Copa Agua","Ajustes de Inventario",592,0
"Riedel Vinum XL Chardonnay Oaked","Ajustes de Inventario",8,0
"Telmo Rodriguez Viña 105 2015","Ajustes de Inventario",107,0
"Viñedos de Paganos La Nieta 2014","Ajustes de Inventario",9,0
"Viñedos de Paganos El Puntido Gran Reserva 2006","Ajustes de Inventario",11,0
"1758 Bar Copa Grabada Glass 1758 330cc","Ajustes de Inventario",60,0
"Riedel Riedel Syrah/Malbec","Ajustes de Inventario",924,0
"Riedel Ouverture Magnum  Rest.","Ajustes de Inventario",732,0
"Quinta do Noval Tawny ","Ajustes de Inventario",45,0
"Riedel Bar Vinum Cognac Henessy","Ajustes de Inventario",56,0
"Riedel Decanter Tyrol","Ajustes de Inventario",1,0
"Riedel Riedel Pinot/Nebbiolo","Ajustes de Inventario",492,0
"Riedel XL Champagne Vintage","Ajustes de Inventario",2328,0
"Luxus Radler Lata 0,50 lt (Limonada+ Cerveza)","Ajustes de Inventario",1081,0
"Riedel Vinum Extreme Champagne","Ajustes de Inventario",48,0
"Teso La Monja Alabaster 2014","Ajustes de Inventario",11,0
"Riedel Sommelier Rest. Burgundy Grand Cru (Pinot Noir)","Ajustes de Inventario",30,0
"Emilio Moro Malleolus de Valderamiro 2011","Ajustes de Inventario",3,0
"kristoffel White Bot. 0,330 lt Cerveza Trigo","Ajustes de Inventario",138,0
"Riedel Vinum Extreme Pinot Noir","Ajustes de Inventario",32,0
"Riedel Vinum Extreme Chardonnay Oaked","Ajustes de Inventario",64,0
"Niepoort Tawny ","Ajustes de Inventario",48,0
"Riedel Grape Pinot/Nebbiolo","Ajustes de Inventario",16,0
"Riedel Decanter Boa","Ajustes de Inventario",1,0
"Le Mortelle Botrosecco 2015","Ajustes de Inventario",60,0
"Oremus Tokaj Aszu 5 Puttonyos 2007","Ajustes de Inventario",80,0
"Vega Sicilia Unico 2008","Ajustes de Inventario",81,0
"Riedel Grape Syrah/Shiraz/Malbec","Ajustes de Inventario",16,0
"Teso La Monja Victorino 2014","Ajustes de Inventario",12,0
"Oremus Tokaj Aszu 3 Puttonyos 2010","Ajustes de Inventario",60,0
"Quinta do Noval Unfiltered L.B.V. 2011","Ajustes de Inventario",36,0
"Prunotto Barolo 2013","Ajustes de Inventario",24,0
"Riedel Decanter Pomerol Magnum","Ajustes de Inventario",1,0
"Riedel Grape Chardonnay Oaked","Ajustes de Inventario",16,0
"Riedel Vinum Sauvignon Blanc","Ajustes de Inventario",40,0
"Riedel Swirl Swirl Red Wine Rest. Copa sin Tallo","Ajustes de Inventario",1008,0
"Emilio Moro Finca Resalso 2015","Ajustes de Inventario",53,0
